"vendor_name","pickup_datetime","dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","rate_code","store_and_fwd","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","total_amount","improvement_surcharge","congestion_surcharge","pickup_location_id","dropoff_location_id","month"
"VTS",2021-01-30 11:27:00.000,2021-01-30 11:40:19.000,1,2.17,,,"Standard rate","No",,,"Cash",11,0,0.5,0,0,11.8,0.3,0,43,74,1
"VTS",2021-01-07 19:36:25.000,2021-01-07 19:49:54.000,1,3.6,,,"Standard rate","No",,,"Credit card",13.5,1,0.5,3.56,0,21.36,0.3,2.5,75,186,1
"VTS",2021-01-07 14:57:23.000,2021-01-07 15:05:29.000,1,1.5,,,"Standard rate","No",,,"Credit card",7.5,0,0.5,2.16,0,12.96,0.3,2.5,68,163,1
"VTS",2021-01-15 13:08:18.000,2021-01-15 13:15:02.000,2,0.8,,,"Standard rate","No",,,"Credit card",6,0,0.5,1.86,0,11.16,0.3,2.5,236,237,1
,2021-01-15 14:56:00.000,2021-01-15 15:03:00.000,,1.64,,,,,,,,14.95,0,0.5,2.75,0,18.5,0.3,0,238,24,1
"VTS",2021-01-22 13:57:34.000,2021-01-22 14:06:58.000,2,1.81,,,"Standard rate","No",,,"Credit card",9,0,0.5,2.46,0,14.76,0.3,2.5,161,236,1
"VTS",2021-01-04 15:41:02.000,2021-01-04 15:41:38.000,1,0.14,,,"Standard rate","No",,,"Credit card",2.5,0,0.5,1.16,0,6.96,0.3,2.5,239,238,1
"VTS",2021-01-05 08:42:35.000,2021-01-05 08:49:02.000,0,0,,,"Negotiated","No",,,"Credit card",7.5,0,0.5,2,0,12.8,0.3,2.5,249,249,1
"VTS",2021-01-15 19:48:11.000,2021-01-15 19:50:34.000,1,0.53,,,"Standard rate","No",,,"Credit card",4,1,0.5,1.66,0,9.96,0.3,2.5,90,164,1
"VTS",2021-01-16 16:57:36.000,2021-01-16 17:10:42.000,2,2.62,,,"Standard rate","No",,,"Credit card",11,0,0.5,2,0,16.3,0.3,2.5,163,238,1
"CMT",2021-01-07 22:49:52.000,2021-01-07 22:56:24.000,1,1.1,,,"Standard rate","No",,,"Credit card",6.5,3,0.5,2.05,0,12.35,0.3,2.5,233,164,1
"CMT",2021-01-25 18:19:32.000,2021-01-25 18:26:36.000,1,2.2,,,"Standard rate","No",,,"Credit card",8.5,3.5,0.5,1,0,13.8,0.3,2.5,261,114,1
"VTS",2021-01-11 09:57:11.000,2021-01-11 10:17:59.000,6,2.27,,,"Standard rate","No",,,"Cash",14.5,0,0.5,0,0,17.8,0.3,2.5,141,137,1
"VTS",2021-01-22 00:23:33.000,2021-01-22 00:34:55.000,2,3.89,,,"Standard rate","No",,,"Credit card",13,0.5,0.5,4.2,0,21,0.3,2.5,162,260,1
"VTS",2021-01-14 14:47:20.000,2021-01-14 14:48:13.000,5,0.05,,,"Standard rate","No",,,"Cash",2.5,0,0.5,0,0,5.8,0.3,2.5,161,161,1
"CMT",2021-01-03 10:16:14.000,2021-01-03 10:21:58.000,1,1.3,,,"Standard rate","Yes",,,"Credit card",6.5,2.5,0.5,2.45,0,12.25,0.3,2.5,48,143,1
"CMT",2021-01-19 17:20:40.000,2021-01-19 17:25:23.000,1,0.6,,,"Standard rate","No",,,"Credit card",5,3.5,0.5,1.85,0,11.15,0.3,2.5,236,237,1
"CMT",2021-01-05 05:50:29.000,2021-01-05 05:53:19.000,1,0.9,,,"Standard rate","No",,,"Credit card",5,2.5,0.5,1.65,0,9.95,0.3,2.5,48,142,1
"VTS",2021-01-13 07:15:53.000,2021-01-13 07:19:18.000,1,1.41,,,"Standard rate","No",,,"Cash",6,0,0.5,0,0,6.8,0.3,0,75,74,1
"CMT",2021-01-08 09:45:27.000,2021-01-08 09:52:33.000,1,0.9,,,"Standard rate","No",,,"Credit card",6.5,2.5,0.5,1.95,0,11.75,0.3,2.5,158,113,1
,2021-01-18 12:17:00.000,2021-01-18 13:13:00.000,,66,,,,,,,,64.6,0,0.5,0,0,65.4,0.3,0,70,67,1
,2021-01-21 08:52:00.000,2021-01-21 09:14:00.000,,11.66,,,,,,,,33.11,2.75,0.5,0,6.12,42.78,0.3,0,135,74,1
"CMT",2021-01-16 07:25:08.000,2021-01-16 07:52:34.000,1,17.6,,,"JFK","No",,,"Credit card",52,2.5,0.5,10,6.12,71.42,0.3,2.5,186,132,1
,2021-01-27 11:54:18.000,2021-01-27 11:56:21.000,,0,,,,,,,,25.7,0,0.5,0,0,29,0.3,2.5,48,48,1
"VTS",2021-01-27 08:17:24.000,2021-01-27 08:22:39.000,1,1.5,,,"Standard rate","No",,,"Credit card",6.5,0,0.5,2.16,0,11.96,0.3,2.5,48,163,1
"VTS",2021-01-29 15:04:02.000,2021-01-29 15:11:07.000,1,0.9,,,"Standard rate","No",,,"Credit card",6.5,0,0.5,1.96,0,11.76,0.3,2.5,237,237,1
"VTS",2021-01-04 12:48:00.000,2021-01-04 12:55:09.000,2,1.11,,,"Standard rate","No",,,"Credit card",7,0,0.5,2.06,0,12.36,0.3,2.5,233,264,1
"CMT",2021-01-23 19:30:23.000,2021-01-23 19:39:58.000,3,2,,,"Standard rate","No",,,"Credit card",9,2.5,0.5,0,0,12.3,0.3,2.5,170,211,1
